singer,phase,duration_s,slope,auc,time_to_peak,hr_range,recovery,mean_hr,sd_hr
S1,song_1,206,0.1322,144.0,205,39.0,36.3,144.0,8.6
S1,song_2,58,0.1289,154.4,53,9.0,8.0,154.4,2.6
S2,song_1,84,0.0735,159.7,29,26.0,1.0,159.5,8.6
S2,song_2,56,0.232,147.4,50,23.0,10.3,147.4,6.5
S3,song_1,147,0.2065,149.5,126,35.0,23.0,149.5,10.3
S3,song_2,55,0.2075,151.7,25,17.0,5.7,151.8,5.2
S4,song_1,164,0.0232,105.8,59,40.0,10.7,105.7,9.8
S4,song_2,54,0.473,89.5,42,23.0,18.3,89.5,8.0
S5,song_1,165,0.2571,167.4,158,57.0,53.0,167.3,13.8
S5,song_2,58,0.2695,169.9,57,19.0,15.3,169.9,5.2
