pair,singer,panelist,session,phase,mean_coherence,n_samples,n_periods,period_range
S1-F1,S1,F1,S1,song_1,0.5566,207,27,6-58s
S1-F1,S1,F1,S1,song_2,0.2975,59,12,6-28s
S1-F2,S1,F2,S1,song_1,0.5843,207,27,6-58s
S1-F2,S1,F2,S1,song_2,0.3333,59,12,6-28s
S1-F3,S1,F3,S1,song_1,0.4689,207,27,6-58s
S1-F3,S1,F3,S1,song_2,0.3123,59,12,6-28s
S2-F1,S2,F1,S2,song_1,0.4431,85,19,6-42s
S2-F1,S2,F1,S2,song_2,0.3942,57,12,6-28s
S2-F2,S2,F2,S2,song_1,0.4723,85,19,6-42s
S2-F2,S2,F2,S2,song_2,0.6524,57,12,6-28s
S2-F3,S2,F3,S2,song_1,0.6053,85,19,6-42s
S2-F3,S2,F3,S2,song_2,0.3991,57,12,6-28s
S3-F1,S3,F1,S3,song_1,0.7061,148,27,6-58s
S3-F1,S3,F1,S3,song_2,0.6514,56,12,6-28s
S3-F2,S3,F2,S3,song_1,0.4736,145,27,6-58s
S3-F2,S3,F2,S3,song_2,0.4234,56,12,6-28s
S3-F3,S3,F3,S3,song_1,0.5543,148,27,6-58s
S3-F3,S3,F3,S3,song_2,0.6422,56,12,6-28s
S4-F1,S4,F1,S4,song_1,0.4353,165,27,6-58s
S4-F1,S4,F1,S4,song_2,0.4657,55,11,6-26s
S4-F2,S4,F2,S4,song_1,0.5567,165,27,6-58s
S4-F2,S4,F2,S4,song_2,0.3648,55,11,6-26s
S4-F3,S4,F3,S4,song_1,0.4874,165,27,6-58s
S4-F3,S4,F3,S4,song_2,0.4542,55,11,6-26s
S5-F1,S5,F1,S5,song_1,0.5136,166,27,6-58s
S5-F1,S5,F1,S5,song_2,0.3884,59,12,6-28s
S5-F2,S5,F2,S5,song_1,0.5702,165,27,6-58s
S5-F2,S5,F2,S5,song_2,0.5546,59,12,6-28s
S5-F3,S5,F3,S5,song_1,0.5107,166,27,6-58s
S5-F3,S5,F3,S5,song_2,0.4123,59,12,6-28s
